"","ID","N","distribution","mean","sd","df"
"451",451,50,"Normal",0,1.4142135623731,NA
"452",452,50,"Normal",0,1.4142135623731,NA
"453",453,50,"T",0,1.4142135623731,4
"454",454,50,"Exponential",1.4142135623731,1.4142135623731,NA
"455",455,50,"Log-Normal",2.71828182845905,1.4142135623731,NA
"456",456,50,"Chi-Squared",4,2.82842712474619,4
"457",457,50,"Normal",0,1.29099444873581,NA
"458",458,50,"Normal",0,1.29099444873581,NA
"459",459,50,"Normal",0,1.29099444873581,NA
"460",460,50,"Normal",0,1.29099444873581,NA
"461",461,50,"T",0,1.29099444873581,5
"462",462,50,"Exponential",1.29099444873581,1.29099444873581,NA
"463",463,50,"Log-Normal",2.30097589089283,1.29099444873581,NA
"464",464,50,"Chi-Squared",5,3.16227766016838,5
"465",465,50,"Normal",0,1.22474487139159,NA
"466",466,50,"Normal",0,1.22474487139159,NA
"467",467,50,"Normal",0,1.22474487139159,NA
"468",468,50,"Normal",0,1.22474487139159,NA
"469",469,50,"T",0,1.22474487139159,6
"470",470,50,"Exponential",1.22474487139159,1.22474487139159,NA
"471",471,50,"Log-Normal",2.11700001661267,1.22474487139159,NA
"472",472,50,"Chi-Squared",6,3.46410161513775,6
"473",473,50,"Normal",0,1.18321595661992,NA
"474",474,50,"Normal",0,1.18321595661992,NA
"475",475,50,"Normal",0,1.18321595661992,NA
"476",476,50,"Normal",0,1.18321595661992,NA
"477",477,50,"T",0,1.18321595661992,7
"478",478,50,"Exponential",1.18321595661992,1.18321595661992,NA
"479",479,50,"Log-Normal",2.01375270747048,1.18321595661992,NA
"480",480,50,"Chi-Squared",7,3.74165738677394,7
"481",481,20,"Normal",0,1.73205080756888,NA
"482",482,20,"Normal",0,1.73205080756888,NA
"483",483,20,"Normal",0,1.73205080756888,NA
"484",484,20,"Normal",0,1.73205080756888,NA
"485",485,20,"T",0,1.73205080756888,3
"486",486,20,"Exponential",1.73205080756888,1.73205080756888,NA
"487",487,20,"Log-Normal",4.48168907033806,1.73205080756888,NA
"488",488,20,"Chi-Squared",3,2.44948974278318,3
"489",489,20,"Normal",0,1.4142135623731,NA
"490",490,20,"Normal",0,1.4142135623731,NA
"491",491,20,"Normal",0,1.4142135623731,NA
"492",492,20,"Normal",0,1.4142135623731,NA
"493",493,20,"T",0,1.4142135623731,4
"494",494,20,"Exponential",1.4142135623731,1.4142135623731,NA
